,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending
0,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,MIT,2018-07-15 12:42:26,2024-09-08 15:53:45,2024-09-08 13:54:35,1354,18.0,319.0,30.0,422.0,23.0,235.0,1273,2024-08-30 19:58:08,5.13.3,222979.0,3779.0,94.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",312.0,312.0,53.0,30,True,others,1.0,
1,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40,2024-07-25 10:51:05,2024-02-23 19:03:07,2440,,1533.0,287.0,434.0,281.0,639.0,9654,2024-02-23 19:05:48,0.12.2,,,30.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,2946.0,2946.0,121.0,28,True,others,1.0,
2,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,Apache-2.0,2020-02-11 08:43:48,2024-07-29 01:48:05,2024-07-28 23:35:15,83896,1652.0,675.0,149.0,42.0,149.0,111.0,4234,,,,,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and..",,,1628.0,27,True,others,1.0,
3,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Apache-2.0,2023-08-28 02:18:13,2024-09-12 11:20:15,2024-09-06 08:24:31,460,53.0,3119.0,306.0,182.0,22.0,232.0,25075,2024-08-28 03:11:05,1.1.5,,,8.0,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration).,,,63.0,26,True,others,1.0,
4,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39,2024-08-10 02:46:11,2024-05-07 13:49:33,2334,,1100.0,191.0,238.0,232.0,285.0,5763,,,,,,Distributed Evolutionary Algorithms in Python.,5185.0,5185.0,88.0,26,True,others,1.0,2.0
5,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,Apache-2.0,2017-09-19 21:52:39,2024-08-25 21:57:34,2024-08-25 21:54:26,962,21.0,378.0,31.0,94.0,20.0,390.0,2204,2024-07-31 04:57:29,0.6.1.3,,,13.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",1218.0,1218.0,54.0,26,True,others,1.0,
6,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,MIT,2016-05-17 14:58:40,2023-12-04 09:23:11,2022-09-23 11:12:11,1770,,581.0,262.0,233.0,162.0,546.0,4063,2018-11-06 09:13:55,0.36.0,41849.0,418.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,32.0,32.0,35.0,25,False,others,1.0,
7,vizier,google/vizier,https://github.com/google/vizier,https://github.com/google/vizier,Apache-2.0,2022-02-16 20:48:16,2024-09-12 17:45:54,2024-09-11 17:33:44,1120,50.0,93.0,24.0,1131.0,2.0,27.0,1432,2024-08-06 15:52:44,0.1.18,,,36.0,"Python-based research interface for blackbox and hyperparameter optimization, based on the internal Google Vizier..",55.0,55.0,23.0,25,True,others,1.0,
8,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,Apache-2.0,2023-03-17 21:41:54,2024-09-12 18:11:57,2024-09-12 18:04:24,393,113.0,642.0,63.0,527.0,159.0,239.0,5311,2024-09-12 18:06:19,0.1.9,33.0,2.0,26.0,CAMEL: Finding the Scaling Law of Agents. A multi-agent framework. https://www.camel-ai.org.,15.0,15.0,45.0,24,True,others,1.0,
9,ck,mlcommons/ck,https://github.com/mlcommons/ck,https://github.com/mlcommons/ck,Apache-2.0,2014-11-05 17:14:43,2024-09-02 09:17:25,2024-08-12 16:50:54,8265,46.0,103.0,51.0,798.0,66.0,418.0,597,2024-08-12 16:54:28,cm-v2.3.5,9.0,0.0,100.0,"Collective Mind (CM) is a small, modular, cross-platform and decentralized workflow automation framework with a human-..",108.0,108.0,33.0,24,True,others,1.0,
10,pyswarms,ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,MIT,2017-07-12 12:04:45,2024-08-06 17:18:34,2023-06-06 09:46:40,415,,331.0,39.0,302.0,30.0,200.0,1263,2020-11-14 05:18:38,.1.2.0,,,15.0,A research toolkit for particle swarm optimization in Python.,429.0,429.0,45.0,23,False,others,1.0,
11,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,MIT,2017-12-05 10:20:41,2024-06-23 12:28:48,2024-06-23 12:28:48,343,5.0,973.0,47.0,34.0,64.0,112.0,5184,2021-06-28 12:45:52,0.6.5,,,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",222.0,222.0,24.0,22,True,others,1.0,
