,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,category,projectrank_placing,trending
0,brainflow,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,MIT,2018-07-15 12:42:26,2024-09-30 22:50:42,2024-09-30 22:50:37,1358,20.0,320.0,30.0,425.0,22.0,236.0,1290,2024-09-30 22:49:33,5.14.0,223686.0,3728.0,95.0,"BrainFlow is a library intended to obtain, parse and analyze EEG, EMG, ECG and other kinds of data from biosensors.",320.0,320.0,54.0,30,True,others,1.0,
1,tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40,2024-07-25 10:51:05,2024-02-23 19:03:07,2440,,1538.0,287.0,434.0,282.0,639.0,9695,2024-02-23 19:05:48,0.12.2,,,30.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,3011.0,3011.0,121.0,27,True,others,1.0,-2.0
2,deap,DEAP/deap,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39,2024-08-10 02:46:11,2024-05-07 13:49:33,2334,,1103.0,190.0,238.0,232.0,285.0,5801,,,,,,Distributed Evolutionary Algorithms in Python.,5304.0,5304.0,88.0,26,True,others,1.0,
3,pymoo,anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,https://github.com/anyoptimization/pymoo,Apache-2.0,2017-09-19 21:52:39,2024-08-25 21:57:34,2024-08-25 21:54:26,962,21.0,381.0,31.0,95.0,23.0,391.0,2237,2024-07-31 04:57:29,0.6.1.3,,,13.0,"NSGA2, NSGA3, R-NSGA3, MOEAD, Genetic Algorithms (GA), Differential Evolution (DE), CMAES, PSO.",1261.0,1261.0,54.0,26,True,others,1.0,
4,ChatDev,OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,Apache-2.0,2023-08-28 02:18:13,2024-10-08 07:18:08,2024-10-08 07:18:08,462,33.0,3149.0,308.0,190.0,19.0,239.0,25326,2024-08-28 03:11:05,1.1.5,,,8.0,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration).,,,63.0,25,True,others,1.0,
5,camel,camel-ai/camel,https://github.com/camel-ai/camel,https://github.com/camel-ai/camel,Apache-2.0,2023-03-17 21:41:54,2024-10-10 18:17:19,2024-10-10 16:54:49,435,114.0,665.0,65.0,576.0,185.0,264.0,5432,2024-10-10 17:04:50,0.2.2,66.0,3.0,30.0,CAMEL: Finding the Scaling Law of Agents. A multi-agent framework. https://www.camel-ai.org.,24.0,24.0,47.0,25,True,others,1.0,3.0
6,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,Apache-2.0,2020-02-11 08:43:48,2024-07-29 01:48:05,2024-07-28 23:35:15,83896,272.0,680.0,149.0,42.0,151.0,112.0,4266,,,,,,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and..",,,1628.0,25,True,others,1.0,
7,malmo,microsoft/malmo,https://github.com/microsoft/malmo,https://github.com/microsoft/malmo,MIT,2016-05-17 14:58:40,2023-12-04 09:23:11,2022-09-23 11:12:11,1770,,581.0,262.0,233.0,163.0,546.0,4077,2018-11-06 09:13:55,0.36.0,42225.0,418.0,21.0,Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim..,33.0,33.0,35.0,25,False,others,1.0,
8,ck,mlcommons/ck,https://github.com/mlcommons/ck,https://github.com/mlcommons/ck,Apache-2.0,2014-11-05 17:14:43,2024-10-10 12:18:51,2024-10-10 12:18:51,8342,107.0,105.0,52.0,821.0,13.0,462.0,602,2024-10-09 10:18:08,cm-v3.0.3,,,100.0,"Collective Knowledge (CK) is an educational community project to learn how to run AI, ML and other emerging workloads..",109.0,109.0,33.0,25,True,others,1.0,
9,vizier,google/vizier,https://github.com/google/vizier,https://github.com/google/vizier,Apache-2.0,2022-02-16 20:48:16,2024-10-10 15:40:23,2024-10-10 15:40:19,1133,39.0,93.0,24.0,1142.0,,31.0,1455,2024-08-06 15:52:44,0.1.18,,,36.0,"Python-based research interface for blackbox and hyperparameter optimization, based on the internal Google Vizier..",60.0,60.0,23.0,24,True,others,1.0,
10,pyswarms,ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,https://github.com/ljvmiranda921/pyswarms,MIT,2017-07-12 12:04:45,2024-08-06 17:18:34,2023-06-06 09:46:40,415,,331.0,39.0,302.0,31.0,200.0,1270,2020-11-14 05:18:38,.1.2.0,,,15.0,A research toolkit for particle swarm optimization in Python.,442.0,442.0,45.0,23,False,others,1.0,
11,scikit-opt,guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,https://github.com/guofei9987/scikit-opt,MIT,2017-12-05 10:20:41,2024-06-23 12:28:48,2024-06-23 12:28:48,343,,977.0,46.0,34.0,66.0,112.0,5222,2021-06-28 12:45:52,0.6.5,,,20.0,"Genetic Algorithm, Particle Swarm Optimization, Simulated Annealing, Ant Colony Optimization Algorithm,Immune..",228.0,228.0,24.0,22,True,others,1.0,
12,agentscope,modelscope/agentscope,https://github.com/modelscope/agentscope,https://github.com/modelscope/agentscope,Apache-2.0,2024-01-12 03:41:59,2024-10-08 05:38:18,2024-10-08 05:35:35,251,52.0,301.0,31.0,315.0,25.0,116.0,4993,2024-09-09 02:47:03,0.1.0,6.0,0.0,5.0,Start building LLM-empowered multi-agent applications in an easier way.,7.0,7.0,28.0,22,True,others,1.0,
13,GeneticAlgorithmPython,ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,https://github.com/ahmedfgad/GeneticAlgorithmPython,BSD-3-Clause,2018-12-11 11:19:33,2024-09-21 14:40:18,2024-08-22 22:15:10,467,1.0,456.0,29.0,90.0,88.0,71.0,1852,2024-02-17 21:05:43,3.3.1,990.0,18.0,37.0,"Source code of PyGAD, a Python 3 library for building the genetic algorithm and training machine learning algorithms..",655.0,655.0,23.0,22,True,others,1.0,
14,pycma,CMA-ES/pycma,https://github.com/CMA-ES/pycma,https://github.com/CMA-ES/pycma,,2016-09-22 13:55:01,2024-10-09 13:38:35,2024-10-09 13:31:54,895,46.0,177.0,16.0,27.0,48.0,194.0,1088,2024-09-03 07:48:43,r4.0.0,,,14.0,Python implementation of CMA-ES.,2034.0,2034.0,15.0,22,False,others,1.0,
